VM Count: 1000 arrivalLamda: 1.2 PM type: 3 cpuChangePeriod: 1
Repeat	cpuChangePeriod	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
8	10.0	OSER	513.05351	856.88662		137.00000	0.00000	161.00000	2.14900
9	10.0	ecoCloud	644.53675	2163.46279		166.00000	0.05422	1.00000	0.01700
9	10.0	KMIMPCU	633.21372	1008.58837		71.00000	0.02817	640.00000	1.36200
9	10.0	AFEDEF	465.78180	1030.30293		90.00000	0.03333	565.00000	1.87900
9	10.0	OSER	470.49387	1032.48826		166.00000	0.00000	285.00000	2.60800
Average:	10.0	ecoCloud	779.19373	2417.09596	151.10000	0.06548	3.20000	0.02250
Average:	10.0	KMIMPCU	574.66178	1147.11166	56.60000	0.02625	1550.40000	3.48780
Average:	10.0	AFEDEF	575.62081	1096.35823	81.40000	0.02600	517.70000	2.32960
Average:	10.0	OSER	567.38347	1035.32754	137.80000	0.00000	187.80000	2.37150
0	20.0	ecoCloud	914.07083	2444.64455		168.00000	0.06548	1.00000	0.02100
0	20.0	KMIMPCU	572.11396	807.35269		46.00000	0.00000	1727.00000	3.39100
0	20.0	AFEDEF	699.94566	1143.22840		90.00000	0.02222	566.00000	2.58300
0	20.0	OSER	529.63975	1105.31079		153.00000	0.00000	190.00000	1.81400
1	20.0	ecoCloud	883.55491	2142.08369		159.00000	0.05031	3.00000	0.02200
1	20.0	KMIMPCU	523.53027	776.50383		33.00000	0.06061	1755.00000	2.96800
1	20.0	AFEDEF	659.05939	1302.38268		92.00000	0.02174	550.00000	10.80600
1	20.0	OSER	635.91309	1054.21736		117.00000	0.00000	141.00000	1.89700
2	20.0	ecoCloud	945.51006	2738.30796		203.00000	0.03448	4.00000	0.02800
2	20.0	KMIMPCU	635.88479	1434.56577		63.00000	0.03175	1038.00000	3.26100
2	20.0	AFEDEF	636.68369	1044.89580		79.00000	0.03797	427.00000	1.53300
2	20.0	OSER	551.09970	1412.00116		140.00000	0.00000	178.00000	1.85800
3	20.0	ecoCloud	932.63313	2654.61261		152.00000	0.05921	6.00000	0.01800
3	20.0	KMIMPCU	705.58029	1145.30321		54.00000	0.03704	1056.00000	1.68900
3	20.0	AFEDEF	524.23192	1071.24973		79.00000	0.02532	442.00000	0.68600
3	20.0	OSER	630.78133	1048.67398		149.00000	0.00000	201.00000	2.17800
4	20.0	ecoCloud	873.53843	2587.14550		173.00000	0.06358	4.00000	0.02100
4	20.0	KMIMPCU	515.72936	1122.71306		53.00000	0.01887	1517.00000	4.27100
4	20.0	AFEDEF	495.82021	1017.25356		79.00000	0.02532	394.00000	1.77100
4	20.0	OSER	512.87261	1257.06648		163.00000	0.00000	219.00000	2.15200
5	20.0	ecoCloud	803.09202	2172.03167		174.00000	0.04023	1.00000	0.01200
5	20.0	KMIMPCU	653.20593	946.54040		50.00000	0.02000	2464.00000	5.34400
5	20.0	AFEDEF	605.71252	1198.42672		94.00000	0.03191	594.00000	3.14200
5	20.0	OSER	649.98933	991.28576		130.00000	0.00000	155.00000	1.92100
6	20.0	ecoCloud	737.04121	2140.92476		163.00000	0.05521	0.00000	0.01100
6	20.0	KMIMPCU	701.92083	2004.62951		73.00000	0.02740	5100.00000	27.97800
6	20.0	AFEDEF	694.17765	1122.27866		97.00000	0.04124	541.00000	2.25000
6	20.0	OSER	528.37591	852.11931		158.00000	0.00000	189.00000	1.75600
7	20.0	ecoCloud	745.41818	2102.03367		134.00000	0.08209	4.00000	0.01900
7	20.0	KMIMPCU	601.10770	1344.63313		55.00000	0.00000	1227.00000	2.12800
7	20.0	AFEDEF	685.55872	1464.05503		97.00000	0.03093	1087.00000	7.49800
7	20.0	OSER	521.16849	1031.06980		137.00000	0.00000	158.00000	1.80800
8	20.0	ecoCloud	818.63195	2306.88744		133.00000	0.09023	1.00000	0.01900
8	20.0	KMIMPCU	602.35012	1177.37604		57.00000	0.03509	2091.00000	4.99700
8	20.0	AFEDEF	487.22194	1211.22941		82.00000	0.02439	467.00000	0.87900
8	20.0	OSER	549.55901	1056.84460		171.00000	0.00000	245.00000	2.56800
9	20.0	ecoCloud	908.47725	2476.81129		157.00000	0.07006	1.00000	0.03100
9	20.0	KMIMPCU	762.51507	1356.07631		53.00000	0.01887	4200.00000	6.39600
9	20.0	AFEDEF	738.18779	1212.49005		87.00000	0.01149	705.00000	3.06200
9	20.0	OSER	488.32623	960.32006		159.00000	0.00000	206.00000	2.10200
Average:	20.0	ecoCloud	856.19680	2376.54831	161.60000	0.06109	2.50000	0.02020
Average:	20.0	KMIMPCU	627.39383	1211.56939	53.70000	0.02496	2217.50000	6.24230
Average:	20.0	AFEDEF	622.65995	1178.74900	87.60000	0.02725	577.30000	3.42100
Average:	20.0	OSER	559.77254	1076.89093	147.70000	0.00000	188.20000	2.00540
