VM Count: 1000 arrivalLamda: 0.4 PM type: 3 cpuChangePeriod: 5
Repeat	arrivalLamdaGroup	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
5	1.6	ecoCloud	826.88727	2596.34878		114.00000	0.05263	2.00000	0.02000
5	1.6	KMIMPCU	504.95516	1256.80106		62.00000	0.01613	1176.00000	3.14900
5	1.6	AFEDEF	473.45624	928.35831		93.00000	0.02151	559.00000	1.30400
5	1.6	OSER	620.81476	993.03610		177.00000	0.00000	285.00000	3.24900
6	1.6	ecoCloud	950.58460	2678.35959		146.00000	0.10274	0.00000	0.02500
6	1.6	KMIMPCU	668.05911	1137.54322		49.00000	0.00000	1456.00000	1.96900
6	1.6	AFEDEF	442.16020	863.41697		76.00000	0.02632	490.00000	0.69900
6	1.6	OSER	512.36461	1065.33970		162.00000	0.00000	271.00000	3.07100
7	1.6	ecoCloud	671.29096	2432.15679		116.00000	0.04310	1.00000	0.01900
7	1.6	KMIMPCU	531.32267	1079.19062		69.00000	0.05797	514.00000	1.09600
7	1.6	AFEDEF	711.39935	960.15747		85.00000	0.02353	623.00000	1.41700
7	1.6	OSER	516.84548	1132.59927		177.00000	0.00000	278.00000	3.05200
8	1.6	ecoCloud	903.47350	3286.24342		114.00000	0.04386	1.00000	0.02700
8	1.6	KMIMPCU	571.94217	1721.95051		60.00000	0.01667	1142.00000	3.13700
8	1.6	AFEDEF	650.61266	1270.69872		78.00000	0.03846	548.00000	2.28100
8	1.6	OSER	565.39113	1338.28945		153.00000	0.00000	249.00000	3.36200
9	1.6	ecoCloud	876.86032	2490.31856		95.00000	0.06316	1.00000	0.02900
9	1.6	KMIMPCU	495.21790	1067.52491		64.00000	0.00000	708.00000	1.95100
9	1.6	AFEDEF	637.93755	874.74235		89.00000	0.02247	566.00000	1.68900
9	1.6	OSER	645.92872	1111.09719		148.00000	0.00000	241.00000	3.67200
Average:	1.6	ecoCloud	844.17852	2686.46970	120.40000	0.05385	1.20000	0.04330
Average:	1.6	KMIMPCU	593.96760	1231.24539	64.70000	0.02016	1025.10000	2.02070
Average:	1.6	AFEDEF	572.90647	1220.90410	92.10000	0.01793	656.10000	2.33360
Average:	1.6	OSER	574.59470	1158.45662	165.90000	0.00057	264.10000	3.28270
0	2.0	ecoCloud	779.13900	3271.66502		113.00000	0.06195	1.00000	0.03700
0	2.0	KMIMPCU	622.06493	1145.76763		100.00000	0.03000	522.00000	0.73400
0	2.0	AFEDEF	480.71651	935.29601		93.00000	0.01075	401.00000	0.61500
0	2.0	OSER	511.51222	1100.62277		232.00000	0.00000	418.00000	8.68000
1	2.0	ecoCloud	804.18244	2589.04112		105.00000	0.15238	1.00000	0.02900
1	2.0	KMIMPCU	503.82240	1258.38428		65.00000	0.01538	894.00000	1.01700
1	2.0	AFEDEF	664.22621	811.19914		92.00000	0.01087	481.00000	1.12200
